"ANALYTE","COLOR","CSO","DATA","POSTED","SAMPLE_DATE","SOURCE"
"COLI_E","","","<10","","2018-03-26 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","<10","","2018-03-26 00:00:00","BAY#202.4_SL"
"ENTERO","","","10","","2018-03-26 00:00:00","BAY#202.4_SL"
"COLI_E","","","<10","","2018-03-19 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","10","","2018-03-19 00:00:00","BAY#202.4_SL"
"ENTERO","","","<10","","2018-03-19 00:00:00","BAY#202.4_SL"
"COLI_E","","","31","","2018-03-12 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","41","","2018-03-12 00:00:00","BAY#202.4_SL"
"ENTERO","","","<10","","2018-03-12 00:00:00","BAY#202.4_SL"
"COLI_E","","","20","","2018-03-05 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","41","","2018-03-05 00:00:00","BAY#202.4_SL"
"ENTERO","","","20","","2018-03-05 00:00:00","BAY#202.4_SL"
"COLI_E","","","10","","2018-02-27 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","20","","2018-02-27 00:00:00","BAY#202.4_SL"
"ENTERO","","","10","","2018-02-27 00:00:00","BAY#202.4_SL"
"COLI_E","","","148","","2018-02-26 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","233","","2018-02-26 00:00:00","BAY#202.4_SL"
"ENTERO","","","323","","2018-02-26 00:00:00","BAY#202.4_SL"
"COLI_E","","","<10","","2018-02-20 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","<10","","2018-02-20 00:00:00","BAY#202.4_SL"
"ENTERO","","","<10","","2018-02-20 00:00:00","BAY#202.4_SL"
"COLI_E","","","<10","","2018-02-13 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","<10","","2018-02-13 00:00:00","BAY#202.4_SL"
"ENTERO","","","<10","","2018-02-13 00:00:00","BAY#202.4_SL"
"COLI_E","","","2723","","2018-02-12 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","2851","","2018-02-12 00:00:00","BAY#202.4_SL"
